GLAMGLOW,"GRAVITYMUD™ Firming Treatment",3.9443,"$24.00 - $79.00",https://www.sephora.com/product/gravitymud-firming-treatment-P403486,https://www.sephora.com/productimages/sku/s1923523-main-grid.jpg,https://www.sephora.com/productimages/sku/s1923523-main-hero.jpg,https://www.sephora.com/productimages/sku/s1923523-main-Lhero.jpg,2018/03/10
Caudalie,"Vinoperfect Radiance Serum",4.2235,$79.00,https://www.sephora.com/product/vinoperfect-radiance-serum-P94421,https://www.sephora.com/productimages/sku/s823427-main-grid.jpg,https://www.sephora.com/productimages/sku/s823427-main-hero.jpg,https://www.sephora.com/productimages/sku/s823427-main-Lhero.jpg,2018/03/10
"The Ordinary","Matrixyl* 10% + HA",4.3235,$11.50,https://www.sephora.com/product/matrixyl-10-ha-P427405,https://www.sephora.com/productimages/sku/s2031516-main-grid.jpg,https://www.sephora.com/productimages/sku/s2031516-main-hero.jpg,https://www.sephora.com/productimages/sku/s2031516-main-Lhero.jpg,2018/03/10
"The Ordinary","Lactic Acid 10% + HA 2%",4.76,$6.79,https://www.sephora.com/product/lactic-acid-10-ha-2-P427413,https://www.sephora.com/productimages/sku/s2031433-main-grid.jpg,https://www.sephora.com/productimages/sku/s2031433-main-hero.jpg,https://www.sephora.com/productimages/sku/s2031433-main-Lhero.jpg,2018/03/10
"Drunk Elephant","B-Hydra™ Intensive Hydration Gel",4.0703,$52.00,https://www.sephora.com/product/b-hydra-intensive-hydration-gel-P406712,https://www.sephora.com/productimages/sku/s1785856-main-grid.jpg,https://www.sephora.com/productimages/sku/s1785856-main-hero.jpg,https://www.sephora.com/productimages/sku/s1785856-main-Lhero.jpg,2018/03/10
"Kiehl's Since 1851","Powerful-Strength Line-Reducing Concentrate 12.5% Vitamin C",3.9744,"$62.00 - $81.00",https://www.sephora.com/product/powerful-strength-line-reducing-concentrate-12-5-vitamin-c-P427529,https://www.sephora.com/productimages/sku/s2024792-main-grid.jpg,https://www.sephora.com/productimages/sku/s2024792-main-hero.jpg,https://www.sephora.com/productimages/sku/s2024792-main-Lhero.jpg,2018/03/10
"Peter Thomas Roth","Potent-C™ Power Serum",4.9074,$95.00,https://www.sephora.com/product/potent-c-power-serum-P428100,https://www.sephora.com/productimages/sku/s2025591-main-grid.jpg,https://www.sephora.com/productimages/sku/s2025591-main-hero.jpg,https://www.sephora.com/productimages/sku/s2025591-main-Lhero.jpg,2018/03/10
"La Mer","The Treatment Lotion",4.7778,"$95.00 - $145.00",https://www.sephora.com/product/the-treatment-lotion-P416345,https://www.sephora.com/productimages/sku/s1932391-main-grid.jpg,https://www.sephora.com/productimages/sku/s1932391-main-hero.jpg,https://www.sephora.com/productimages/sku/s1932391-main-Lhero.jpg,2018/03/10
Murad,"Rapid Age Spot and Pigment Lightening Serum",3.8192,$69.00,https://www.sephora.com/product/rapid-age-spot-pigment-lightening-serum-P4009,https://www.sephora.com/productimages/sku/s654095-main-grid.jpg,https://www.sephora.com/productimages/sku/s654095-main-hero.jpg,https://www.sephora.com/productimages/sku/s654095-main-Lhero.jpg,2018/03/10
Shiseido,"Ultimune Power Infusing Concentrate",4.1588,"$37.00 - $125.00",https://www.sephora.com/product/ultimune-power-infusing-concentrate-P388058,https://www.sephora.com/productimages/sku/s1641760-main-grid.jpg,https://www.sephora.com/productimages/sku/s1641760-main-hero.jpg,https://www.sephora.com/productimages/sku/s1641760-main-Lhero.jpg,2018/03/10
OLEHENRIKSEN,"Invigorating Night Transformation™ Gel",4.3099,"$48.00 - $79.00",https://www.sephora.com/product/invigorating-night-transformation-gel-P42330,https://www.sephora.com/productimages/sku/s1910579-main-grid.jpg,https://www.sephora.com/productimages/sku/s1910579-main-hero.jpg,https://www.sephora.com/productimages/sku/s1910579-main-Lhero.jpg,2018/03/10
Lancôme,"Advanced Génifique Youth Activating Serum",4.256,"$78.00 - $178.00",https://www.sephora.com/product/advanced-genifique-youth-activating-serum-P379510,https://www.sephora.com/productimages/sku/s1528066-main-grid.jpg,https://www.sephora.com/productimages/sku/s1528066-main-hero.jpg,https://www.sephora.com/productimages/sku/s1528066-main-Lhero.jpg,2018/03/10
"The Ordinary","Vitamin C Suspension 23% + HA Spheres 2%",3.9274,$5.80,https://www.sephora.com/product/vitamin-c-suspension-23-ha-spheres-2-P427410,https://www.sephora.com/productimages/sku/s2031466-main-grid.jpg,https://www.sephora.com/productimages/sku/s2031466-main-hero.jpg,https://www.sephora.com/productimages/sku/s2031466-main-Lhero.jpg,2018/03/10
"Kiehl's Since 1851","Clearly Corrective™ Dark Spot Solution",3.9091,"$50.00 - $79.00",https://www.sephora.com/product/clearly-corrective-dark-spot-solution-P422022,https://www.sephora.com/productimages/sku/s1989474-main-grid.jpg,https://www.sephora.com/productimages/sku/s1989474-main-hero.jpg,https://www.sephora.com/productimages/sku/s1989474-main-Lhero.jpg,2018/03/10
