P181705,DERMAdoctor,"Ain’t Misbehavin’ Medicated Acne Control Serum",4.0698,$48.00,https://www.sephora.com/product/aint-misbehavin-medicated-acne-control-serum-P181705,https://www.sephora.com/productimages/sku/s1000462-main-grid.jpg,https://www.sephora.com/productimages/sku/s1000462-main-hero.jpg,https://www.sephora.com/productimages/sku/s1000462-main-Lhero.jpg,2018/03/14,1,1000462
P274220,DERMAdoctor,"Photo Dynamic Therapy® 3in1  Facial Lotion With Broad Spectrum SPF 30",3.9091,$85.00,https://www.sephora.com/product/photodynamic-therapy-3-in-1-facial-lotion-broad-spectrum-spf-30-P274220,https://www.sephora.com/productimages/sku/s1302504-main-grid.jpg,https://www.sephora.com/productimages/sku/s1302504-main-hero.jpg,https://www.sephora.com/productimages/sku/s1302504-main-Lhero.jpg,2018/03/14,1,1302504
P399754,"Kate Somerville","Age Arrest Anti-Wrinkle Serum",4.2,$95.00,https://www.sephora.com/product/age-arrest-anti-wrinkle-serum-P399754,https://www.sephora.com/productimages/sku/s1750934-main-grid.jpg,https://www.sephora.com/productimages/sku/s1750934-main-hero.jpg,https://www.sephora.com/productimages/sku/s1750934-main-Lhero.jpg,2018/03/14,1,1750934
P387139,NuFACE,"LIFTER Vitamin C & Hyaluronic Acid Serum",3.9,$84.00,https://www.sephora.com/product/lifter-vitamin-c-hyaluronic-acid-serum-P387139,https://www.sephora.com/productimages/sku/s1629179-main-grid.jpg,https://www.sephora.com/productimages/sku/s1629179-main-hero.jpg,https://www.sephora.com/productimages/sku/s1629179-main-Lhero.jpg,2018/03/14,1,1629179
P386770,"VERSO SKINCARE","Dark Spot Fix",3.381,$150.00,https://www.sephora.com/product/dark-spot-fix-P386770,https://www.sephora.com/productimages/sku/s1628593-main-grid.jpg,https://www.sephora.com/productimages/sku/s1628593-main-hero.jpg,https://www.sephora.com/productimages/sku/s1628593-main-Lhero.jpg,2018/03/14,1,1628593
P399981,Clarins,"Mission Perfection Serum",4.1,$74.00,https://www.sephora.com/product/mission-perfection-serum-P399981,https://www.sephora.com/productimages/sku/s1747708-main-grid.jpg,https://www.sephora.com/productimages/sku/s1747708-main-hero.jpg,https://www.sephora.com/productimages/sku/s1747708-main-Lhero.jpg,2018/03/14,1,1747708
P308602,Fresh,"Umbrian Clay Mattifying Serum",3.7273,$37.00,https://www.sephora.com/product/umbrian-clay-mattifying-serum-P308602,https://www.sephora.com/productimages/sku/s1418557-main-grid.jpg,https://www.sephora.com/productimages/sku/s1418557-main-hero.jpg,https://www.sephora.com/productimages/sku/s1418557-main-Lhero.jpg,2018/03/14,1,1418557
P282934,Algenist,"Concentrated Reconstructing Serum",4.1944,$98.00,https://www.sephora.com/product/concentrated-reconstructing-serum-P282934,https://www.sephora.com/productimages/sku/s1328814-main-grid.jpg,https://www.sephora.com/productimages/sku/s1328814-main-hero.jpg,https://www.sephora.com/productimages/sku/s1328814-main-Lhero.jpg,2018/03/14,1,1328814
P416814,Origins,"Plantscription™ Powerful Lifting Concentrate",4.5,$62.00,https://www.sephora.com/product/plantscription-tm-powerful-lifting-concentrate-P416814,https://www.sephora.com/productimages/sku/s1916535-main-grid.jpg,https://www.sephora.com/productimages/sku/s1916535-main-hero.jpg,https://www.sephora.com/productimages/sku/s1916535-main-Lhero.jpg,2018/03/14,1,1916535
P387140,NuFACE,"SMOOTHER Powerhouse Peptide Serum",4.3636,$84.00,https://www.sephora.com/product/smoother-powerhouse-peptide-serum-P387140,https://www.sephora.com/productimages/sku/s1629161-main-grid.jpg,https://www.sephora.com/productimages/sku/s1629161-main-hero.jpg,https://www.sephora.com/productimages/sku/s1629161-main-Lhero.jpg,2018/03/14,1,1629161
P230805,DERMAdoctor,"POETRY in Lotion®",4.3533,$75.00,https://www.sephora.com/product/poetry-in-lotion-P230805,https://www.sephora.com/productimages/sku/s1133701-main-grid.jpg,https://www.sephora.com/productimages/sku/s1133701-main-hero.jpg,https://www.sephora.com/productimages/sku/s1133701-main-Lhero.jpg,2018/03/14,1,1133701
P73515,DERMAdoctor,"Picture Porefect",3.8361,$42.00,https://www.sephora.com/product/picture-porefect-P73515,https://www.sephora.com/productimages/sku/s784488-main-grid.jpg,https://www.sephora.com/productimages/sku/s784488-main-hero.jpg,https://www.sephora.com/productimages/sku/s784488-main-Lhero.jpg,2018/03/14,1,784488
P402693,NuFACE,"Gel Primer 24K Gold Complex - Firm",3.7273,$39.00,https://www.sephora.com/product/gel-primer-24k-gold-complex-firm-P402693,https://www.sephora.com/productimages/sku/s1768167-main-grid.jpg,https://www.sephora.com/productimages/sku/s1768167-main-hero.jpg,https://www.sephora.com/productimages/sku/s1768167-main-Lhero.jpg,2018/03/14,1,1768167
P391635,"Skin Inc.","Chlorella Serum BRIGHTEN & TACKLE SPOTS",3.5833,$35.00,https://www.sephora.com/product/chlorella-serum-brighten-tackle-spots-P391635,https://www.sephora.com/productimages/sku/s1657980-main-grid.jpg,https://www.sephora.com/productimages/sku/s1657980-main-hero.jpg,https://www.sephora.com/productimages/sku/s1657980-main-Lhero.jpg,2018/03/14,1,1657980
P403744,"Perricone MD",Re:Firm,4.1111,$155.00,https://www.sephora.com/product/re-firm-P403744,https://www.sephora.com/productimages/sku/s1747740-main-grid.jpg,https://www.sephora.com/productimages/sku/s1747740-main-hero.jpg,https://www.sephora.com/productimages/sku/s1747740-main-Lhero.jpg,2018/03/14,1,1747740
